,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
1076,47.3868,8.53981,-0.006517594244724
1096,51.838221,5.856938,-0.0062195247923581
1020,45.560556,11.539722,-0.0050633590073955
1184,51.525955,6.97688,-0.0044689273994319
702,60.37288,11.07407,-0.0032416636460977
100,36.1989,113.1031,-0.0031763391123011
364,38.9511,121.565,0.0005869703763861
742,45.871406,22.908594,0.0029824965283935
167,30.4742,114.9028,0.0035415859263134
1271,40.0877,-82.95977,0.0039890229216219
1322,40.816,-73.902,0.004240589102276
1203,40.71099,14.70244,0.0043062183229922
1291,39.9878,-79.2515,0.0058377899319197
993,47.62,6.157611,0.0059783457989088
990,42.697918,9.446417,0.0060940501667676
32,34.3672,107.1906,0.0088255927505243
882,51.60308,4.781016,0.0101244136818868
298,34.77134,113.65724,0.0107608419875792
668,26.5161,106.694,0.0112755841119384
428,30.7819,111.3275,0.0114654124517019
914,52.146264,14.638166,0.0116648239992425
997,55.862281,-3.205782,0.0126028900363369
550,30.3714,114.8989,0.0131580621503873
790,46.835,14.84361111,0.0142222688254811
1174,52.077148,4.289185,0.017914398796414
706,42.09791019,1.848237224,0.0180084235518597
581,42.0353,119.2658,0.0185107589671419
909,49.41123199,14.67638874,0.0200555206492551
1350,42.51831,-89.06347,0.0200640584279021
688,45.1828,5.7531,0.0210589306835711
1106,50.84971052,4.33410368,0.0219314093231828
1057,52.349703,13.424304,0.0221851340214721
729,46.072224,5.820833,0.0222687689500761
1328,41.05192,-73.76366,0.0232370648541956
1307,43.7775,-91.2269,0.0234980944757824
1197,44.429489,24.351389,0.0241581529433087
1411,34.623238,-82.53206,0.0244082765131669
148,33.5698,114.0261,0.0268121719864168
169,37.9251,102.6201,0.0272933304689922
648,28.3611,112.9581,0.0308982740970599
1260,32.82006,-96.860115,0.0312337476999308
779,45.93766834,13.91156335,0.0315289570669099
234,42.8845,125.1358,0.0328607327707546
943,47.05917,15.016667,0.033126005298361
1107,50.6134125,5.570222814,0.0332313296906559
44,36.0681,114.361,0.033659698977272
765,45.809998,2.06,0.0351370859341208
37,41.7166,86.1972,0.0353811911104154
238,50.2472,127.5291,0.0363267071966237
1189,46.1625,12.360833,0.0366762520382736
1021,45.89,0.9,0.0373939895431977
1247,35.0608,-83.4306,0.0397194647212791
982,50.892377,14.822846,0.0412000290691803
1226,46.586918,0.358583,0.0422458516073745
255,45.6077,122.7911,0.0430818301555749
98,40.0917,113.3444,0.0431029504360221
483,38.5167,102.1692,0.04485065970768
1031,45.226667,11.665833,0.0451512288006331
736,49.254344,6.867744,0.0459232643814023
846,47.105278,17.556667,0.0459689265337135
452,24.5058,118.0936,0.0462170028487415
726,43.3069,-5.7057,0.0474945403341747
1374,42.19438,-72.555115,0.0477390450656873
523,29.9775,102.9905,0.0479320812582476
629,39.8261,109.9486,0.0479932457780219
963,49.462229,11.0248,0.0483359247601367
194,33.0706,107.0154,0.0489485834279843
1159,49.851334,3.284,0.0490373975520133
1176,44.825,11.649722,0.0494500335351975
730,45.683333,9.466667,0.0498645423877734
221,35.4897,112.8676,0.0503555132020942
1144,42.58194,12.62361,0.0509957389618526
1075,44.319639,28.610292,0.0511029337093216
862,51.921389,4.401389,0.051106813521003
1329,32.726658,-103.12292,0.0524294069504824
54,31.4535,104.7563,0.0525126927498815
1085,46.541047,24.559642,0.0529031815200356
657,29.8279,106.3787,0.0532421972513461
631,27.8614,112.9433,0.056090115443274
4,47.3386,123.9488,0.0568846284656201
1335,42.09142,-77.20978,0.0570933957008943
206,42.0224,121.6717,0.0576047011519247
870,52.800773,10.756733,0.0578230839480671
618,28.4436,117.9756,0.0582104874001439
839,48.247222,20.616403,0.0582584638676704
955,47.4067,9.39438,0.0606954499939038
173,42.9559,89.1673,0.0616342814440152
1448,34.264915,-88.76622,0.0619630125851126
772,45.515278,10.219444,0.0620248383380922
827,45.193889,9.164722,0.0620896189941253
366,45.7667,126.635,0.0624889538065431
430,29.3578,113.1094,0.062907975152224
986,46.802376,4.417486,0.063425581474848
1072,49.634841,9.657919,0.0640373070338213
1422,44.616943,-86.109406,0.0641905177849515
1334,43.05235,-76.05921,0.0649439341651107
1146,49.514959,8.402331,0.0651902371080493
1258,41.606663,-87.30494,0.0656768465272041
928,51.5645,14.3764,0.0674746677695312
1275,41.55523,-81.57526,0.0678453251647979
845,47.561944,18.960008,0.0680985471448545
1433,40.56252,-80.503944,0.0683538304656444
359,41.7406,123.505,0.069326510065281
572,38.4418,106.2266,0.0697922939334146
58,30.8064,106.056,0.0706178078641987
377,43.9027,125.2863,0.0724516547481676
146,32.1142,112.1825,0.0740501041512392
725,49.02134,1.148319,0.0743716837113575
1282,35.500103,-82.59986,0.0745441329470221
