,lat,lon,EVI2_Onset_Greenness_Maximum_1_aot40_r
396,39.6506,118.1705,-0.5896536173389213
145,32.0564,112.1392,-0.5891893457659823
397,26.3003,106.805,-0.5891716873632559
905,45.873889,10.1775,-0.589137340903537
1273,39.70595,-79.012,-0.5887237478986068
982,50.892377,14.822846,-0.5881382202821824
842,47.091111,17.901122,-0.5870627942810571
1176,44.825,11.649722,-0.5854767797948343
691,48.001511,7.832122,-0.584581101929203
402,29.4906,106.6349,-0.5821738253189437
869,47.913256,7.908035,-0.5821276561446167
235,41.9419,126.4077,-0.5820290984689418
1127,45.5966,7.76643,-0.5810128128105574
653,29.6277,106.6556,-0.5800038847002823
290,37.9854,112.549,-0.5790761784356
586,35.7668,115.0,-0.5775950256271656
991,47.2474,6.015419,-0.5769985277243472
772,45.515278,10.219444,-0.5766517938034668
700,43.610497,2.23015,-0.5765383771108288
500,30.2798,109.4707,-0.5762002070424991
417,28.2475,117.0311,-0.5724761290915112
146,32.1142,112.1825,-0.5724297817315503
391,38.8394,117.457,-0.5705929405199481
1079,41.91614,0.191101,-0.5696263778094511
1452,40.27813,-105.54564,-0.5692059120523345
1446,43.670834,-110.59947,-0.5691847520138087
28,34.6886,112.494,-0.5688300660880493
230,35.0303,110.9686,-0.5677709333338582
911,50.11108017,14.50309563,-0.5653217296938055
865,50.978292,10.317236,-0.5652668346298104
1407,41.965195,-87.87627,-0.564790950464358
336,31.2472,120.561,-0.5645091390553695
796,48.1061111,15.91944444,-0.5631004151647249
685,48.85731,7.314175,-0.5617603779526049
1293,35.614132,-97.47508,-0.5617304018563982
504,26.4364,111.5992,-0.5599907835708015
838,45.1391,7.0501,-0.5586091178340017
163,35.303,113.883,-0.5577238148370538
1331,41.058617,-74.25555,-0.5563278128731588
650,28.7728,104.6201,-0.5560823366945403
1442,32.52127,-84.94463,-0.556081231441549
1179,46.555842,26.926942,-0.5558932786116647
777,46.13111418,14.99611517,-0.5550530886574281
475,29.3867,117.3102,-0.5543560834459643
394,39.1661,117.1444,-0.5538412073718846
734,43.310833,-0.391111,-0.5497014056211037
