,lat,lon,EVI2_Onset_Greenness_Maximum_1_co2_r
905,45.873889,10.1775,-0.4333802977774173
805,46.05184,11.45389,-0.4331708806357234
75,40.7136,120.9092,-0.4327715640055
220,35.4936,112.8318,-0.4327125534270925
541,27.7044,111.9892,-0.4323436423355625
1353,40.56333,-78.919975,-0.4321373230265951
904,50.78944397,14.08679867,-0.4285778399165549
168,37.9956,106.1856,-0.4283242085257694
93,34.9976,118.2794,-0.42788812076675
762,45.158745,1.537222,-0.4258695669309373
529,31.2132,107.4988,-0.4258001034440071
853,41.694342,24.738078,-0.4246654521316139
772,45.515278,10.219444,-0.424306273016056
295,40.762,114.8902,-0.4230958476187294
419,30.3119,120.1197,-0.4220457603584571
929,51.897598,14.057064,-0.4204726100767284
1266,36.0388,-85.7331,-0.4199095785828186
708,43.09625,-0.040497,-0.4193655348053702
996,49.32273,11.02792,-0.4176330541110102
1059,48.18169,11.46445,-0.4166561155035835
375,43.8772,125.3716,-0.4154187920288936
719,47.27476,4.099476,-0.4143997075695421
841,47.557222,18.420836,-0.4143709505914767
142,32.395,111.0419,-0.4141945603038579
1090,50.221941,8.446079,-0.4141658108869373
872,50.654066,10.769534,-0.412439540202949
373,43.79,125.4605,-0.4119955098005392
1343,41.78472,-72.63167,-0.4116432942021611
417,28.2475,117.0311,-0.4116010864502323
991,47.2474,6.015419,-0.4091187630550429
894,50.159406,19.477464,-0.4086389564623593
538,28.2675,109.6958,-0.4075519731995006
960,51.25210341,4.491362028,-0.4069117320790694
1202,42.284,21.2738,-0.4040573817187116
1320,40.136337,-111.6605,-0.4037502092518318
1307,43.7775,-91.2269,-0.4028130486696953
9,44.6075,129.6364,-0.4024160395286803
503,26.2331,111.6236,-0.3985174514296168
1077,43.21291,-3.1344,-0.3981847263686658
1095,47.86194444,15.32194444,-0.3968722625130939
250,50.2524,127.4833,-0.3961719580067596
986,46.802376,4.417486,-0.3954328805078442
975,49.628771,8.364779,-0.3954211601937847
296,40.8336,114.8883,-0.395389951459377
1316,29.632057,-98.56493,-0.3936006193846357
1433,40.56252,-80.503944,-0.392920693991356
474,30.2111,120.2072,-0.3916830060326201
96,35.2464,115.4208,-0.39121187950415
801,45.463333,10.480833,-0.3894033256145943
994,49.872303,8.664619,-0.3891101391865373
919,48.376576,10.88837,-0.3890602578442969
1389,39.40745,-94.26537,-0.3889756399347075
1328,41.05192,-73.76366,-0.3872700953614642
478,27.72,106.9178,-0.386711506027809
830,48.733256,19.115268,-0.3859927884424208
1126,49.079012,19.3025249,-0.3859031383339408
892,44.926111,10.370833,-0.3852786577043752
1385,38.11515,-86.60325,-0.3834679317396848
851,43.126475,25.691211,-0.381029759120386
1414,40.046665,-76.28333,-0.380881582815374
1069,52.398406,13.368103,-0.3766958236713965
768,50.429014,21.277367,-0.3754589539391436
1087,50.383217,8.060998,-0.3732634457466209
693,43.30277777,-1.98444444,-0.3729710062946323
816,49.211447,18.771215,-0.3728756100885594
1079,41.91614,0.191101,-0.3723287842734641
32,34.3672,107.1906,-0.3708351071511077
1012,46.137222,9.385,-0.3691009347185056
