,lat,lon,EVI2_Onset_Greenness_Maximum_1_temp_r
1123,45.714444,11.368611,-0.5377407838675125
334,31.2284,121.533,-0.5366508031332482
1000,48.021657,12.538174,-0.5349985462431889
357,32.1328,119.4303,-0.53385096097886
96,35.2464,115.4208,-0.5330812510118041
1172,46.162556,-1.153603,-0.5318758817700936
1008,45.42009,4.395422,-0.5317809543209167
1108,40.3419,-3.8337,-0.5303877301572677
723,46.19583,6.240556,-0.528823994809054
110,42.2728,118.9576,-0.5278237837164033
827,45.193889,9.164722,-0.5268069132734172
1004,51.52229,-0.125889,-0.5241311202273323
129,36.2017,117.0885,-0.5238061309353356
1088,42.05134069,0.729555647,-0.5226539109207123
132,33.6347,114.6758,-0.5222897874236303
837,44.73473,9.36693,-0.5208795232310575
39,35.8735,120.0405,-0.5113683254979152
430,29.3578,113.1094,-0.5088647262811354
84,30.6306,104.1122,-0.5052100112723118
85,34.2629,108.993,-0.5051694969293063
564,29.8566,114.2936,-0.5050637237570624
24,41.2664,123.7992,-0.5014350808591236
428,30.7819,111.3275,-0.5012292202625968
1237,41.9356664,2.238568301,-0.4976105383360158
306,39.9499,119.5897,-0.4971159996155501
651,23.1522,112.5544,-0.4968999904146713
118,37.3803,118.0062,-0.4963294990340413
410,27.9831,116.3544,-0.4951778355343985
1035,41.554167,14.674722,-0.4939317974245369
712,52.029194,23.149389,-0.4878026544517725
884,59.20243,9.4871,-0.487146933887446
109,42.2816,118.9233,-0.4843787048356838
915,44.4122,8.1695,-0.4838444523133045
988,47.34414,0.653778,-0.4806631053923064
689,43.25055555,-2.155,-0.4792494791213026
225,37.6945,112.7532,-0.4779980520626418
1184,51.525955,6.97688,-0.4776645008293051
580,30.4519,114.8858,-0.4730973297011786
1126,49.079012,19.3025249,-0.4716002928136601
155,31.737,116.5079,-0.4711196670318811
752,45.3189,8.4024,-0.4697077684381352
1065,48.947611,13.420573,-0.4673963481332115
688,45.1828,5.7531,-0.4673316085459399
757,43.15333,-4.25306,-0.4641294132077523
80,40.6532,109.8756,-0.4632456016782829
639,33.3942,120.156,-0.4618310094276825
1095,47.86194444,15.32194444,-0.4600754507818953
1016,42.42212,12.109196,-0.4592487797856053
69,40.6655,122.167,-0.4574198899485588
17,41.0821,123.022,-0.4572006533483331
1081,51.90158,10.48132,-0.4513004600480985
1111,47.47706,11.05722,-0.450332679591623
759,45.84083,9.34889,-0.4476282171592057
599,32.3153,118.3093,-0.4471300562711092
1116,51.34879529,4.339709947,-0.4457906866904655
521,30.5944,114.3014,-0.4449025745839777
901,48.68817,6.190431,-0.4444048431436046
1223,47.0677,8.30068,-0.4434873886233881
26,41.0879,121.1115,-0.4433049197494315
507,27.2272,111.4328,-0.4421975982124319
112,37.4309,118.6614,-0.4370044337722086
783,41.669172,13.674326,-0.4355716134471361
527,27.8914,102.237,-0.4326733056120864
1186,44.564972,27.366081,-0.4305119408633121
125,37.5639,121.2514,-0.4304938069704575
169,37.9251,102.6201,-0.4295868515882419
185,31.6908,113.3833,-0.4293484586801223
56,31.1208,104.4239,-0.4278563007455881
501,26.2081,111.6217,-0.427154863500076
782,42.157856,11.908954,-0.4240293604589552
482,31.5031,120.242,-0.4232029701045783
89,34.1978,108.985,-0.422276011405743
1047,51.862042,6.874469,-0.4218847010179284
1084,52.25534,8.05286,-0.4206570693005124
40,32.1059,114.1099,-0.4165267765050679
748,43.2941,-5.6796,-0.4161408680898367
233,37.5136,111.1297,-0.4159110183171774
1082,50.16443,9.399441,-0.414218551169231
106,37.8731,113.4894,-0.4137321339302865
765,45.809998,2.06,-0.4128967669178865
72,40.1461,124.3933,-0.411870478806648
244,46.8032,130.3648,-0.4109694113591359
484,35.546,112.8453,-0.4095563467456592
70,40.0625,124.3303,-0.4062627408358168
545,36.0621,114.4839,-0.4039142286619777
1070,48.889039,8.665536,-0.4010134085934023
815,49.028057,2.750278,-0.4005922427874027
845,47.561944,18.960008,-0.4003757951608165
294,30.7478,120.726,-0.4001937545633229
412,25.8333,114.9322,-0.3994876774531922
13,46.6215,124.9042,-0.3993420625578761
516,27.5342,109.9781,-0.3975616253966551
944,47.04472222,15.15277778,-0.3961272956705354
1419,41.645382,-70.89751,-0.395752187705178
393,39.0927,117.202,-0.3956462278208226
578,39.1067,117.1941,-0.39542893168669
811,43.39873,6.075611,-0.3951595037032181
848,46.62936,14.28931,-0.3945704039963636
1320,40.136337,-111.6605,-0.3938938318251929
1205,39.48963,16.3868,-0.3937482368420877
1099,57.810833,15.564736,-0.3934252095901326
1361,41.44278,-75.623055,-0.3929265491343677
1421,39.46048,-76.633545,-0.3927842333983182
438,27.8336,113.251,-0.3923534560506526
980,51.317905,12.297411,-0.3922838293849195
758,45.47833,9.23583,-0.3917432116944462
663,31.6449,118.5024,-0.3917223866177682
74,41.1489,122.0303,-0.3904416545313325
792,45.760833,11.736667,-0.389788717036847
1447,40.74529,-73.41919,-0.3896416426542792
912,50.04613113,14.33141327,-0.3866390149338263
832,48.53111111,14.57472222,-0.3859545117325367
350,31.7069,119.9468,-0.3857587802691271
1100,50.85671305,4.425760659,-0.38367623671772
828,43.9275,12.224722,-0.3826981995012883
1337,38.20087,-77.37742,-0.3821050886333095
1196,44.938125,26.044994,-0.3818522932505464
961,50.79664963,4.358623958,-0.3815318187687867
860,43.28334,5.511384,-0.3808769575041723
272,37.0886,114.4704,-0.380834050436147
175,42.8328,93.4961,-0.3795998908653922
1249,36.306965,-79.09197,-0.3776279395769807
424,33.774,113.182,-0.3772806392130275
55,31.4668,104.6697,-0.3764751432536332
1427,39.52508,-119.80772,-0.3759574008568708
1263,36.019184,-83.87381,-0.3736810355682451
365,43.7783,125.245,-0.3727132134408077
196,38.2911,109.7456,-0.3726195844573512
895,47.64892,-2.76399,-0.3698158256670145
332,45.6842,126.6206,-0.3689057092337968
307,30.6189,114.282,-0.3656233255833822
1187,43.285,13.42861,-0.3650366251294939
1055,49.73244858,13.40228081,-0.3636367401722264
291,37.8195,112.57,-0.3634257068247766
381,39.8863,116.4072,-0.3620672894192045
7,44.561,129.61,-0.3607361729160958
908,49.73508453,16.03419685,-0.3599464481140823
240,46.6528,126.964,-0.3599236103064031
1378,42.474644,-70.97082,-0.3586688404203019
61,41.0931,123.011,-0.3585267498636834
1025,40.67354965,22.89343834,-0.3578983500242786
290,37.9854,112.549,-0.3571811129623858
114,37.4674,116.3032,-0.3561985266144559
66,39.8129,110.0023,-0.3556149428229329
384,40.135,116.6636,-0.3549631185958124
449,31.155,120.636,-0.3526164037714969
945,48.27329,14.31479,-0.3507240466718449
780,46.58967,11.43317,-0.3506925925768631
584,41.7173,125.9358,-0.3502790491555584
1335,42.09142,-77.20978,-0.3499774503281211
1036,51.360755,9.271233,-0.3494685722370248
625,33.4022,120.118,-0.3494195099681143
12,46.586,125.153,-0.3493720403842621
535,28.19,112.9394,-0.3489459121807859
1245,33.81468,-80.781136,-0.3487733874254712
191,31.8896,102.2502,-0.3485103562000424
726,43.3069,-5.7057,-0.3482232345423821
1424,42.27807,-85.54189,-0.3476421228532212
63,41.1196,123.044,-0.3452917166478068
585,31.2864,120.628,-0.3427445540342688
1358,40.24699,-76.846985,-0.3426909082398536
1291,39.9878,-79.2515,-0.3420469552883348
5,47.3227,123.9483,-0.3416770129968612
1159,49.851334,3.284,-0.3414770307219079
394,39.1661,117.1444,-0.3408065416771085
680,44.9089,8.2055,-0.3388520778327511
14,31.6837,118.5092,-0.338830465544331
703,50.02403641,15.76354885,-0.3376052999114718
1435,41.49212,-81.67845,-0.33752284143958
414,26.585,101.7169,-0.3362412677744317
1243,35.438557,-81.27675,-0.3347624969771876
105,37.8572,113.5758,-0.3341348991688574
862,51.921389,4.401389,-0.334087838501625
776,46.651838,16.196777,-0.3313567973805934
751,49.259552,2.474397,-0.3306301732179166
137,32.9771,113.9976,-0.3299386335525674
255,45.6077,122.7911,-0.3280709536703053
831,45.148333,9.940278,-0.3274639543838095
1264,35.10264,-85.16219,-0.3258003983164625
237,50.2341,127.5144,-0.3244981678733095
1086,50.13577,8.92157,-0.3225255650003204
1380,44.310555,-84.89187,-0.3215382944094125
235,41.9419,126.4077,-0.3209999303932206
271,37.0851,114.5237,-0.3199941436894962
1318,42.04915,-88.273026,-0.3190433986430044
616,38.0378,114.5481,-0.317644082647009
243,32.9673,117.3533,-0.3176409711113683
761,47.751475,23.605325,-0.3162730225286856
1125,47.565439,14.244676,-0.3159417305486041
258,47.3416,130.2537,-0.3150946704086769
1073,48.507703,9.051178,-0.3141534720940866
881,51.468662,5.47235,-0.313001884105839
919,48.376576,10.88837,-0.3124839439932647
835,48.39167,13.67085,-0.3116977326263698
1097,51.05833172,3.729298172,-0.3108382193280319
376,43.8463,125.2841,-0.3095025297589207
694,54.124819,22.038056,-0.3085947508577848
838,45.1391,7.0501,-0.3074023035756283
847,41.97833,21.47,-0.304954239745531
387,39.6334,118.1725,-0.3043675012156159
1409,43.54792,-96.70077,-0.3036178518716851
614,32.1873,119.4424,-0.3001814929439805
203,43.9311,116.0781,-0.2992977586074536
503,26.2331,111.6236,-0.2985309738780175
4,47.3386,123.9488,-0.2977032410917546
108,37.8703,113.5614,-0.2954651624080769
958,47.0495,6.97915,-0.295373579489082
1402,43.656765,-70.629135,-0.2948628799655133
731,45.0419,7.6259,-0.2942087032794227
379,30.6319,114.135,-0.2941540243935042
1293,35.614132,-97.47508,-0.2934107931032144
966,51.406846,6.965589,-0.2925200144276622
456,29.7178,118.327,-0.2924419964648711
999,44.98375,26.015214,-0.2897962820907376
260,47.3382,130.1097,-0.2876212068372589
609,23.7256,109.2203,-0.2875419097008945
649,28.793,104.6055,-0.287180976545098
1406,41.644066,-83.54616,-0.2852088446970031
1026,43.623608,1.438531,-0.2843126456740448
157,31.7905,116.4996,-0.2832994952979744
126,37.5433,121.3719,-0.2814458878640702
499,34.77172,113.73961,-0.2811378681777087
1059,48.18169,11.46445,-0.2805082700629952
1255,38.013332,-87.577225,-0.2787690468570813
