,lat,lon,EVI2_Growing_Season_Area_1_co2_r
416,28.2264,117.0222,-0.4496101537624217
487,46.098,85.6979,-0.4416344616225069
636,23.4714,116.7519,-0.4369213399442971
183,31.7275,113.3583,-0.4366791321592311
542,27.7569,111.9561,-0.4341050237591939
150,33.5699,114.051,-0.4215811372971782
152,32.2786,118.3244,-0.4193911623198176
166,31.0386,112.2213,-0.4148776742466765
199,30.2756,118.1371,-0.4136439106317161
644,37.4658,118.5019,-0.4132295989547592
410,27.9831,116.3544,-0.4018314273290577
210,42.2217,123.7153,-0.400689297892726
149,33.5698,114.0055,-0.3960261761700287
608,27.5444,109.9453,-0.3923529495850515
40,32.1059,114.1099,-0.3915879358612743
623,33.5828,114.0138,-0.3911640087789802
101,36.2125,113.0886,-0.3899257423162252
504,26.4364,111.5992,-0.388750493603734
538,28.2675,109.6958,-0.3870529733109435
308,30.6217,114.3646,-0.3833721212445222
481,27.8403,112.9118,-0.3821749087229908
64,40.6821,109.8538,-0.3729423848013863
367,45.7733,126.689,-0.3716639786586455
255,45.6077,122.7911,-0.3685025266823021
406,30.1819,120.2697,-0.366812823382387
493,31.9037,102.224,-0.3635087753580154
631,27.8614,112.9433,-0.3620493352829975
386,40.217,116.2296,-0.3591288273546903
162,35.7306,114.2878,-0.3586390880227093
43,36.1017,114.3551,-0.3575688268350783
180,36.1911,113.1569,-0.3567698647300794
379,30.6319,114.135,-0.3550092540413025
235,41.9419,126.4077,-0.3547958822060351
536,23.4835,111.2711,-0.3538761349673706
472,35.176,113.2467,-0.3519940259909788
1321,40.72099,-74.192894,-0.3498437962273183
335,34.2778,117.2933,-0.3492620362745336
447,31.388,120.953,-0.3482329483829609
388,38.0178,114.5331,-0.3457836427934048
154,32.8605,115.8554,-0.3454527114450695
1272,40.084515,-82.81558,-0.345402167193272
649,28.793,104.6055,-0.3450091070527337
174,42.8172,93.5128,-0.3440576208099905
489,36.881,118.746,-0.3375751383617466
56,31.1208,104.4239,-0.3367675077037854
92,38.5036,106.1358,-0.3366267419979639
284,33.5039,119.135,-0.3359111916913234
506,27.7344,109.1839,-0.3351015976806447
312,31.3019,120.591,-0.3313495138587264
1245,33.81468,-80.781136,-0.3313266826345591
144,32.5714,110.8839,-0.3300176935091226
1249,36.306965,-79.09197,-0.3294088234777789
650,28.7728,104.6201,-0.3284496207184055
519,30.1383,104.6295,-0.3281677175920266
1296,43.4351,-89.67979,-0.3244989684670436
1277,39.42689,-84.20077,-0.3213491363353112
1392,38.71085,-90.47606,-0.3207201482520353
1248,41.4271,-80.1451,-0.3205673033617178
220,35.4936,112.8318,-0.3191464212445242
1439,39.310833,-76.47444,-0.3138628346289519
1328,41.05192,-73.76366,-0.3123431356989284
1388,37.70097,-94.03474,-0.3122998300664364
8,44.5963,129.5904,-0.3106342288203352
1350,42.51831,-89.06347,-0.3095877302948471
501,26.2081,111.6217,-0.3092675450651252
350,31.7069,119.9468,-0.3065381870647621
1315,42.139996,-87.799225,-0.3056239454260956
151,30.9743,118.7385,-0.3040759196816747
1440,47.5525,-122.06472,-0.3028059437520748
44,36.0681,114.361,-0.2981937242104102
462,31.955,119.18,-0.2947459422724162
1442,32.52127,-84.94463,-0.2897621470187284
1429,40.689255,-122.40219,-0.2889047212494053
586,35.7668,115.0,-0.2856688529754624
1432,36.60843,-83.73694,-0.2844674922583821
378,43.9166,125.3325,-0.283193159113152
275,38.2991,116.8842,-0.2821159073632751
1255,38.013332,-87.577225,-0.2813545381286551
616,38.0378,114.5481,-0.2787156772329244
421,27.8246,114.9231,-0.2780322745138125
432,29.7228,106.6263,-0.2779247821600772
362,40.7866,111.5512,-0.277670562264458
107,37.8486,113.5819,-0.2770468041162456
1318,42.04915,-88.273026,-0.2764367296028097
1382,38.06503,-84.49761,-0.2749396753917954
123,34.5578,117.7276,-0.2739466682348648
31,34.3017,107.0708,-0.2727027066824619
1295,41.6175,-87.199165,-0.2725309428747037
142,32.395,111.0419,-0.2705231905334893
1421,39.46048,-76.633545,-0.2703986628102374
