,lat,lon,EVI2_Growing_Season_Area_1_temp_r
506,27.7344,109.1839,-0.6465820565940471
353,41.7867,123.4678,-0.6459576291182159
35,34.3617,108.7233,-0.6458157076740408
517,27.5578,109.9972,-0.6455971855016569
426,37.3753,97.3731,-0.6429859620822003
1151,51.939783,15.518861,-0.638328375084552
1119,45.623056,13.7875,-0.6378925165928817
329,31.3008,121.467,-0.6363495930059755
1149,43.3094,-2.0109,-0.635666052735294
740,45.474156,28.034406,-0.6347357569845398
650,28.7728,104.6201,-0.6316504727143272
645,36.7019,119.12,-0.6283076930418524
768,50.429014,21.277367,-0.6253235637621323
628,34.5023,109.4259,-0.6217162222977448
143,32.6494,110.78,-0.6200757099639942
270,37.7124,112.469,-0.6187466243327452
1415,30.419806,-91.182014,-0.6170879794658908
563,29.6038,115.9114,-0.6168428486632155
718,41.096667,-8.555833,-0.6158113328992804
904,50.78944397,14.08679867,-0.6157831008993856
535,28.19,112.9394,-0.613940315017804
1220,43.25811,-2.97344,-0.6131085850996656
1242,35.2318,-77.5669,-0.6129230055908748
67,40.7094,122.2703,-0.6128059095873638
1312,32.364567,-88.73149,-0.6123350419501551
1089,48.12027778,14.878333,-0.610766303040227
47,35.2127,113.2269,-0.6095003544208288
1211,42.736572,11.87643,-0.6091017635254091
194,33.0706,107.0154,-0.6077347537248837
371,43.8447,125.3863,-0.6073255427677835
214,46.0656,122.0392,-0.6060786391113189
4,47.3386,123.9488,-0.6021899334838309
453,26.567,101.7227,-0.601795407352206
1375,42.298492,-72.334076,-0.6004077471948767
1282,35.500103,-82.59986,-0.598010519074012
1172,46.162556,-1.153603,-0.5955026493359826
932,43.322554,21.919025,-0.5908191571087107
124,35.4209,119.471,-0.5894481954068838
1259,29.767998,-95.22058,-0.5866497624477748
1079,41.91614,0.191101,-0.5866158883012991
713,53.028647,18.666103,-0.5850950236967822
26,41.0879,121.1115,-0.5844262782903078
662,35.4887,112.8508,-0.5842539271589988
811,43.39873,6.075611,-0.5840040487806393
359,41.7406,123.505,-0.5780844119933242
744,43.34639,-4.06417,-0.5777999294183165
492,26.3108,117.7275,-0.576876598380426
272,37.0886,114.4704,-0.5757208089888776
1111,47.47706,11.05722,-0.5740524317887843
738,45.431539,28.054742,-0.5723011164127582
196,38.2911,109.7456,-0.5722933088916272
553,24.8978,118.5972,-0.5701905474740492
255,45.6077,122.7911,-0.5698298455293201
429,36.0022,106.2792,-0.5692700294785831
367,45.7733,126.689,-0.5681818600633232
1179,46.555842,26.926942,-0.5681629080767843
172,42.9418,89.1904,-0.5652346831787094
774,47.40555556,15.36083333,-0.564991624182767
978,44.865555,-0.939444,-0.5646728152637085
1123,45.714444,11.368611,-0.5616837777918867
40,32.1059,114.1099,-0.5611703012697105
1417,41.705227,-76.512726,-0.5610831721499338
51,30.7856,106.1064,-0.5607503162053207
587,31.9996,118.7356,-0.5593480799328626
455,36.885,120.515,-0.55824932255983
828,43.9275,12.224722,-0.5582176444996049
463,31.909,120.237,-0.5534282206826923
273,37.7541,115.6838,-0.5507461665722746
1368,34.530716,-86.96754,-0.5498311989741594
106,37.8731,113.4894,-0.5488228161586985
210,42.2217,123.7153,-0.5487852987241387
32,34.3672,107.1906,-0.5483592010305098
170,35.5461,106.6692,-0.5471575049521784
382,39.9295,116.3392,-0.5469312609324101
407,31.4741,104.7778,-0.5450848388347465
1413,41.094967,-85.101814,-0.5449138851747626
108,37.8703,113.5614,-0.5442531720205098
957,47.0674,8.46333,-0.5438220711504942
1193,42.39197569,2.842138412,-0.542735705580203
1153,41.63528,-0.89361,-0.5419688337955877
277,39.5269,116.7244,-0.5405906991018952
1112,44.92467,10.5172,-0.5399433200057432
594,34.6972,119.3581,-0.5374382244517065
1258,41.606663,-87.30494,-0.533872672397835
829,46.143173,-0.396042,-0.5336778024262999
385,40.3275,116.6275,-0.5265524021923792
1056,43.1788,-6.5527,-0.5248322074831739
176,41.1551,80.2613,-0.5247353726865049
444,25.2697,110.2819,-0.5242097817287268
1199,43.650722,25.363583,-0.5235755741134557
78,36.229,117.6795,-0.5233326210504141
1213,50.676856,17.950278,-0.5222232177366403
1252,42.416637,-83.90218,-0.5213116575951156
701,46.13167,9.56639,-0.520783994881494
469,30.8388,106.1087,-0.5198625317740233
165,35.7609,115.0574,-0.5187772759585627
333,45.7478,126.593,-0.5176442820161955
652,37.374,120.399,-0.5175707399398155
477,29.2617,117.1547,-0.5161645491514155
1244,34.09396,-80.9623,-0.5156740747110953
266,48.471,129.5029,-0.5148379820912597
496,26.5939,104.89,-0.5139316720939932
1418,45.49664,-122.602875,-0.5112029563276499
766,45.848333,11.569167,-0.5092627596679992
712,52.029194,23.149389,-0.5091579543681208
179,44.3075,86.0697,-0.5086381990775233
420,28.1136,116.9822,-0.5076217317163704
