,lat,lon,Date_Mid_Greenup_Phase_1_temp_r
680,44.9089,8.2055,-0.6563263701745121
905,45.873889,10.1775,-0.6553428072057257
1144,42.58194,12.62361,-0.6545301502206436
887,52.039023,4.359376,-0.6526666175136724
879,41.53583,20.6989,-0.6517200885259126
1067,51.651166,12.302866,-0.6511687849991951
1159,49.851334,3.284,-0.6503624816900752
1166,41.04,21.3564,-0.6487425382502047
1386,41.81305,-88.07283,-0.6484438463045377
862,51.921389,4.401389,-0.6480261823545999
721,45.916943,6.135556,-0.6470887137147673
986,46.802376,4.417486,-0.645497585198659
597,25.0441,101.5482,-0.6431865310399361
1168,43.79306,11.09778,-0.6428809479496501
868,47.739919,26.658519,-0.6418430443483929
38,36.6868,117.532,-0.6413869429394198
248,30.8792,117.7439,-0.6412376447197446
1272,40.084515,-82.81558,-0.639240087909096
894,50.159406,19.477464,-0.6391449437645356
688,45.1828,5.7531,-0.6390920997289037
1062,51.321364,12.032141,-0.6385914558678591
797,46.7675,15.956111,-0.6382941165780263
1299,63.7232,-148.9676,-0.6364700376545992
1026,43.623608,1.438531,-0.6360614229945166
1180,56.15976,10.19364,-0.6353363511675507
681,48.847917,10.096292,-0.6349656693956744
149,33.5698,114.0055,-0.6308307177687551
383,39.9611,116.2878,-0.6305884421660038
1285,30.700895,-91.05607,-0.6303195628263205
82,43.8711,87.5525,-0.6297626785620317
280,40.9763,117.9392,-0.6279033390186244
995,53.56414,9.967882,-0.6261050610047884
1131,46.112775,24.22805,-0.625805606561663
327,31.1907,121.703,-0.6251471825798643
635,23.691,113.0426,-0.6245672896330314
1066,45.263142,27.969506,-0.6230137146494052
1190,49.784339,22.756239,-0.6227723505455793
882,51.60308,4.781016,-0.6216393648694186
627,22.5978,114.297,-0.6214399131159372
1255,38.013332,-87.577225,-0.6209506120379578
845,47.561944,18.960008,-0.6182017930460663
65,40.6288,109.8642,-0.6181500461120597
553,24.8978,118.5972,-0.6154204154200645
1226,46.586918,0.358583,-0.6127018371418926
1217,53.24696,10.4565,-0.611505835134423
726,43.3069,-5.7057,-0.6114207587668022
1061,50.048397,10.232076,-0.6108805889848699
854,42.666508,23.400164,-0.6107595746918641
733,48.051117,7.011114,-0.6099692174039492
867,51.207944,10.450997,-0.6091816521829998
122,36.8194,118.3092,-0.6070030186820162
1231,46.34072,2.593945,-0.6055238688900588
1306,44.70735,-89.77192,-0.6049644392414533
1342,29.583048,-95.01554,-0.6021143501323188
722,49.40619,1.15515,-0.602014463472984
1429,40.689255,-122.40219,-0.601477739247032
308,30.6217,114.3646,-0.6013759969738243
619,30.9413,117.7807,-0.6013044880194728
930,51.746848,14.33447,-0.6011918863544724
1119,45.623056,13.7875,-0.5991310512046888
1103,47.4029,8.6134,-0.5965771745344863
767,44.013056,12.42,-0.5932986586260739
877,46.256617,26.792892,-0.5920139230836704
907,49.40159607,15.6102457,-0.5917557377987069
848,46.62936,14.28931,-0.5895277649197924
569,26.8906,100.2203,-0.5893943499574097
912,50.04613113,14.33141327,-0.5893447795566612
683,45.6725,12.238611,-0.5887621087897925
270,37.7124,112.469,-0.5863866903895708
1030,50.5976,-3.71651,-0.5854396984348077
447,31.388,120.953,-0.585012889553675
509,27.3125,105.2864,-0.5847307334992347
1084,52.25534,8.05286,-0.5845988655042683
745,40.41666666,-0.24916666,-0.5836116581018717
1339,38.8577,-77.05922,-0.5832657775138081
710,49.23290634,17.66717529,-0.5829579246167339
271,37.0851,114.5237,-0.5826294483194879
1237,41.9356664,2.238568301,-0.582601773741629
677,43.2561,-5.7759,-0.5803834809832885
642,24.7733,113.5824,-0.57913547327849
785,60.608299,15.6294,-0.5777756763064295
953,45.69802778,18.83463889,-0.5777698018802272
1274,41.53694,-81.45887,-0.5769214818518277
822,41.99917,21.44084,-0.5761155090999874
545,36.0621,114.4839,-0.5757713013092571
144,32.5714,110.8839,-0.5744188415820894
725,49.02134,1.148319,-0.5742664477845559
1384,42.334984,-89.03777,-0.5727047706051808
1254,34.002747,-89.79919,-0.5722875412988185
1292,35.320107,-97.4841,-0.5722600596574137
537,23.7233,114.6892,-0.5720241585543935
1147,52.115725,21.237297,-0.5719460956687316
535,28.19,112.9394,-0.5714428840926149
262,46.6554,131.1524,-0.5689500217198513
931,50.12218857,14.46757793,-0.5672798373113621
1157,47.594913,7.568175,-0.567133875472564
162,35.7306,114.2878,-0.5648438600244933
1184,51.525955,6.97688,-0.5623066680748126
749,43.313,-7.6937,-0.561691144807574
