,lat,lon,Date_Mid_Senescence_Phase_1_aot40_r
221,35.4897,112.8676,-0.5398700572833219
465,31.737,119.579,-0.5397746569726051
222,39.3522,112.4397,-0.53802893121182
1258,41.606663,-87.30494,-0.5367374348790903
163,35.303,113.883,-0.5363365747414921
286,33.9528,118.293,-0.5363274227459823
1181,50.30886,2.807369,-0.5358131437245615
887,52.039023,4.359376,-0.5356723104072731
34,34.3622,107.2386,-0.5345938860898934
722,49.40619,1.15515,-0.5329803347118923
372,38.8661,121.5213,-0.5324727451908741
942,45.55879167,18.69876944,-0.5324598315788138
204,38.8411,105.6985,-0.5323603373029588
411,31.2071,121.577,-0.5317829517201357
17,41.0821,123.022,-0.5305248448295081
164,35.7636,115.0312,-0.5301414899552025
1173,50.900317,5.986853,-0.530065768524117
786,46.80138889,13.49388889,-0.529466919346888
1105,59.399355,18.077416,-0.5284885745100515
445,27.6253,113.8493,-0.5276536269316968
1338,38.48123,-77.3704,-0.5264032826955863
1015,48.17278,6.452811,-0.524854837394841
296,40.8336,114.8883,-0.5246147367368666
1195,50.0075,20.259167,-0.5239608122736212
217,39.3278,112.4072,-0.5234075880317652
1132,49.165508,9.224786,-0.522326234346673
230,35.0303,110.9686,-0.5194414199334807
1414,40.046665,-76.28333,-0.5192831745563641
464,31.354,119.818,-0.5184711999697902
533,30.5366,105.5861,-0.5183721410386216
625,33.4022,120.118,-0.513390914969137
601,27.0803,114.9754,-0.5128649401337195
275,38.2991,116.8842,-0.5108639340261979
185,31.6908,113.3833,-0.5085177125952415
769,41.47676936,2.088977264,-0.5065706485952965
1019,52.437165,-1.829999,-0.5061751793016971
392,39.0343,117.707,-0.5055149927000541
352,32.1875,119.6707,-0.503822289037773
1085,46.541047,24.559642,-0.5033742134473079
242,32.8911,117.4185,-0.5020152998126058
26,41.0879,121.1115,-0.5004949624905157
1242,35.2318,-77.5669,-0.4995400821285782
508,28.1308,112.8908,-0.4989342960742887
890,47.2225,-1.5375,-0.4989015211238539
1021,45.89,0.9,-0.4968308636979944
558,29.7535,116.0721,-0.4960383425866583
311,36.6868,117.0624,-0.4950463029178918
1175,46.329586,-0.458889,-0.4940660277501429
1034,43.66028,11.90167,-0.4926268539333612
556,29.5698,115.9773,-0.4915770753250097
117,36.4372,115.9848,-0.4914076969458218
210,42.2217,123.7153,-0.4910396859433029
1412,29.901035,-95.32613,-0.4908226016186345
576,38.4842,106.2757,-0.489495342585137
427,30.6465,111.3549,-0.4892333878808986
899,40.540351,-3.645253,-0.4886838814527847
930,51.746848,14.33447,-0.4881982136247969
220,35.4936,112.8318,-0.4861563454378065
1381,38.548138,-82.73116,-0.4860342327323823
1401,30.681719,-91.36625,-0.4849908391499436
423,32.0754,118.7997,-0.4839801359235142
693,43.30277777,-1.98444444,-0.4836333854685862
1451,33.9828,-111.79871,-0.4835930131130411
1410,29.68639,-95.29472,-0.4834767699398551
604,25.8481,114.9461,-0.4834726395131828
1057,52.349703,13.424304,-0.4821238605299214
345,34.2384,117.1918,-0.481945516880156
825,48.04944444,14.44277778,-0.4817140667295723
966,51.406846,6.965589,-0.4815229563934307
664,34.6692,112.3628,-0.4812732698147584
269,39.6973,106.8174,-0.4802352909539335
834,48.257474,13.03923,-0.4779290981551513
437,27.9153,113.0048,-0.4770269203699942
1095,47.86194444,15.32194444,-0.4757784270137461
1378,42.474644,-70.97082,-0.4746438240058639
989,53.63074,10.110595,-0.4743108847889339
687,45.183611,11.311389,-0.4733835815640504
224,39.3197,112.4258,-0.47037181390125
276,30.8669,120.0751,-0.4651018261323645
446,27.6434,113.8385,-0.4645056339960683
884,59.20243,9.4871,-0.4640590220635692
284,33.5039,119.135,-0.463851436438798
850,42.637192,23.243864,-0.4636174716882126
46,34.7965,114.2885,-0.461730895016712
993,47.62,6.157611,-0.4615368851711458
239,46.6365,126.9785,-0.4609149799491255
100,36.1989,113.1031,-0.4602800099699498
228,37.6982,112.6991,-0.4596545442645787
171,35.5307,106.7021,-0.4595490355446848
1190,49.784339,22.756239,-0.4594334886386602
181,34.5538,105.8945,-0.4574124309749423
176,41.1551,80.2613,-0.4569753679693217
12,46.586,125.153,-0.4567784552405484
20,41.8611,124.0436,-0.4543317508956336
112,37.4309,118.6614,-0.4540948033605184
551,33.015,114.0114,-0.4532642755344988
841,47.557222,18.420836,-0.4520213438241017
153,32.8929,115.8277,-0.4518293725465196
1422,44.616943,-86.109406,-0.4518146243414365
809,45.83611,8.80417,-0.4515358518679496
998,48.173194,11.648036,-0.4510333954123189
1353,40.56333,-78.919975,-0.4507387931136752
694,54.124819,22.038056,-0.4504304217575282
915,44.4122,8.1695,-0.4500236256802018
712,52.029194,23.149389,-0.4480184529429871
1080,50.970024,9.80026,-0.4479992027842823
75,40.7136,120.9092,-0.4450115735128308
778,45.54301186,13.71352366,-0.443146169450549
373,43.79,125.4605,-0.4414272784970442
830,48.733256,19.115268,-0.4405209962170971
321,36.6133,114.484,-0.4403134372402691
145,32.0564,112.1392,-0.43842599227725
939,46.23451421,15.262476,-0.4376828258398947
1054,40.62984,-3.17159,-0.437195298767101
1352,31.893913,-106.42583,-0.4337590783356653
1003,48.77586,5.162789,-0.4336084623456622
549,28.9398,118.8692,-0.4319726426168799
1331,41.058617,-74.25555,-0.4318334080253746
1427,39.52508,-119.80772,-0.4314359181760556
1445,35.988277,-77.5843,-0.4311414364390808
89,34.1978,108.985,-0.4302664670865896
765,45.809998,2.06,-0.4280560595205298
1115,59.316007,18.057807,-0.427230722523133
142,32.395,111.0419,-0.425593559146778
700,43.610497,2.23015,-0.4251260942690763
977,45.154075,26.818619,-0.4238321714808454
48,33.742,113.3257,-0.4231386965476183
488,43.9174,81.2996,-0.4228559637078848
773,48.40861,15.619166,-0.4219870592236889
139,30.2006,115.0817,-0.4215487362771395
116,37.4451,116.2991,-0.4208553435106715
976,45.56472,5.928333,-0.4206660972807657
1041,51.462734,13.526796,-0.4197859833126495
477,29.2617,117.1547,-0.4197387434547173
466,31.4,119.46,-0.4186819092488009
577,30.6558,104.0219,-0.4183396077325598
409,27.7844,114.3956,-0.4168610933806746
62,30.7236,103.9728,-0.4167764180000581
740,45.474156,28.034406,-0.4160373279590889
1418,45.49664,-122.602875,-0.4152002583251118
1058,46.064275,23.563517,-0.4149667066419966
519,30.1383,104.6295,-0.4142909493204578
583,41.7347,123.2444,-0.4134067589074111
340,32.02,120.87,-0.4114981215583447
1158,51.748103,18.04931,-0.4106944172904896
1274,41.53694,-81.45887,-0.4092217925229307
755,51.259431,22.569133,-0.4091147895536221
926,52.644169,13.483079,-0.4074678696116677
1225,41.31347521,2.013824628,-0.4065405529299578
777,46.13111418,14.99611517,-0.4056335550212277
869,47.913256,7.908035,-0.4044235250402163
382,39.9295,116.3392,-0.4031837876664739
768,50.429014,21.277367,-0.4029381738170818
1368,34.530716,-86.96754,-0.4027464095409466
820,48.753179,21.245046,-0.4025844091227962
739,49.357861,6.73354,-0.4019579961611016
110,42.2728,118.9576,-0.4015145259479429
997,55.862281,-3.205782,-0.4014911361375283
69,40.6655,122.167,-0.4008775426440732
