,lat,lon,EVI2_Growing_Season_Area_1_aot40_r
797,46.7675,15.956111,-0.8512015734538853
337,31.3097,120.669,-0.8497664769297476
117,36.4372,115.9848,-0.8491851798253196
800,45.655,10.20083,-0.8487362428199466
1113,54.97825,-1.610528,-0.8472607281893834
826,45.1546,7.658,-0.8469860566961998
450,37.197,122.038,-0.8461255263789592
1110,53.40337,-1.752006,-0.8452719859503648
1168,43.79306,11.09778,-0.8439678745163293
159,30.6618,117.47,-0.8436582995809513
796,48.1061111,15.91944444,-0.843388344246406
520,30.1506,104.6356,-0.8433394967957266
1193,42.39197569,2.842138412,-0.8429522060736742
671,45.499167,12.262222,-0.8419469993707223
632,22.5311,113.0219,-0.8406502232337165
1085,46.541047,24.559642,-0.8379963313051026
435,29.355,113.2117,-0.8360646798273635
659,36.0855,111.5018,-0.8349022546069008
905,45.873889,10.1775,-0.8298336461882059
1195,50.0075,20.259167,-0.8293197619997175
94,35.0888,118.3956,-0.8288623939001774
165,35.7609,115.0574,-0.827451058922797
63,41.1196,123.044,-0.826291441845592
301,34.7525,113.64164,-0.8201909030974747
234,42.8845,125.1358,-0.8192538473603325
1414,40.046665,-76.28333,-0.8190054995898638
666,26.5424,106.674,-0.8184704785280602
915,44.4122,8.1695,-0.8147269181657181
821,45.1758,7.5602,-0.8144819100899255
443,49.2261,119.7594,-0.8104227473414154
409,27.7844,114.3956,-0.8084583499727183
156,31.7643,116.4738,-0.8081300726261236
560,34.343,106.0055,-0.8069187101501717
752,45.3189,8.4024,-0.8062310641004895
892,44.926111,10.370833,-0.8048826791590679
1444,45.25928,-122.58815,-0.8047589321527169
290,37.9854,112.549,-0.804117477347014
823,45.1763,7.7116,-0.80385435706644
119,37.393,117.9776,-0.8024703395187678
1387,33.317142,-86.82575,-0.8009673135313422
1012,46.137222,9.385,-0.7993548201540395
1143,52.411563,-1.560228,-0.7987256617618913
248,30.8792,117.7439,-0.7973591778925536
770,45.4512,7.878,-0.7973132005366342
56,31.1208,104.4239,-0.7968468040691882
593,33.3663,120.1544,-0.7953945215924961
1130,51.47707,0.317969,-0.7948367948744457
1038,45.696736,27.211622,-0.7918859147111014
