"year","springincrease5","springincrease3","springnochange","springdecrease3","springdecrease5","autumnincrease5","autumnincrease3","autumnnochange","autumndecrease3","autumndecrease5","summerincrease5","summerincrease3","summernochange","summerdecrease3","summerdecrease5","allincrease5","allincrease3","allnochange","alldecrease3","alldecrease5"
2033,122.788001858244,122.585666774544,122.383331690843,122.180996607142,121.978661523441,280.550157946381,280.848528556058,281.146899165735,281.445269775412,281.74364038509,0.349801338400264,0.357483033461383,0.365164728522503,0.372846423583623,0.380528118644743,34.6210636837117,34.9788843811864,35.3367050786611,35.6945257761358,36.0523464736105
2034,122.758362047021,122.537632864802,122.316903682583,122.096174500364,121.875445318145,281.441624809011,281.767120019568,282.092615230125,282.418110440682,282.743605651239,0.360261733137691,0.368641764113458,0.377021795089225,0.385401826064992,0.39378185704076,35.287621063402,35.6779709151926,36.0683207669832,36.4586706187738,36.8490204705644
2035,122.57310130882,122.333978028083,122.094854747346,121.855731466608,121.616608185871,279.852839498798,280.205459310235,280.558079121672,280.910698933108,281.263318744545,0.361139149058169,0.370217515948583,0.379295882838997,0.388374249729411,0.397452616619826,36.0091041534235,36.43198315953,36.8548621656365,37.277741171743,37.7006201778495
2036,122.428631250941,122.171113871685,121.91359649243,121.656079113174,121.398561733919,280.343842016253,280.723586428569,281.103330840886,281.483075253202,281.862819665519,0.368968274371633,0.378744977176694,0.388521679981756,0.398298382786817,0.408075085591879,36.9766167717101,37.4320249321325,37.8874330925548,38.3428412529772,38.7982494133996
2037,122.5472102141,122.271298736326,121.995387258553,121.719475780779,121.443564303005,281.826116533441,282.232985546637,282.639854559833,283.046723573029,283.453592586225,0.385023240303702,0.395498279023411,0.40597331774312,0.416448356462828,0.426923395182537,37.3873420663185,37.8752793810568,38.363216695795,38.8511540105333,39.3390913252716
2038,122.90352125846,122.609215682168,122.314910105876,122.020604529584,121.726298953292,280.612333749655,281.04632736373,281.480320977806,281.914314591882,282.348308205958,0.381912361695363,0.393085736329719,0.404259110964075,0.415432485598431,0.426605860232787,38.0194441021148,38.5399105711689,39.0603770402231,39.5808435092772,40.1013099783314
2039,122.516962138077,122.204262463267,121.891562788457,121.578863113646,121.266163438836,280.149721986381,280.610840201337,281.071958416292,281.533076631248,281.994194846204,0.38732889651124,0.399200607060244,0.411072317609247,0.42294402815825,0.434815738707254,39.155528876378,39.7085244997481,40.2615201231181,40.8145157464881,41.3675113698581
2040,122.67858203412,122.347488260791,122.016394487463,121.685300714134,121.354206940806,279.850536986904,280.33877980274,280.827022618575,281.31526543441,281.803508250246,0.397094278938175,0.409664325401825,0.422234371865476,0.434804418329126,0.447374464792777,40.0072819991632,40.5928067768491,41.178331554535,41.7638563322209,42.3493811099069
2041,122.784372305469,122.434884433622,122.085396561775,121.735908689928,121.386420818082,280.816668896208,281.332036312923,281.847403729639,282.362771146354,282.878138563069,0.404446759602419,0.417715141980717,0.430983524359015,0.444251906737312,0.45752028911561,40.9108491893554,41.5289031213572,42.146957053359,42.7650109853608,43.3830649173626
2042,122.667778866843,122.299896896478,121.932014926113,121.564132955748,121.196250985383,281.173391412237,281.715883429831,282.258375447426,282.800867465021,283.343359482616,0.414961733469904,0.428928451762849,0.442895170055794,0.456861888348739,0.470828606641684,41.4295495464707,42.0801326327883,42.730715719106,43.3812988054237,44.0318818917414
2043,122.423898409996,122.037622341113,121.651346272229,121.265070203346,120.878794134463,280.536184190273,281.105800808747,281.675417427222,282.245034045697,282.814650664171,0.423297804477685,0.437962858685277,0.452627912892869,0.467292967100461,0.481958021308054,42.600083585444,43.2831958260776,43.9663080667111,44.6494203073447,45.3325325479783
2044,123.079461874058,122.674791706656,122.270121539255,121.865451371853,121.460781204452,280.257316784525,280.854058003879,281.450799223234,282.047540442588,282.644281661942,0.425959065473236,0.441322455595476,0.456685845717715,0.472049235839955,0.487412625962194,42.9708709289383,43.6865123238878,44.4021537188372,45.1177951137867,45.8334365087361
2045,122.786677930146,122.363613664227,121.940549398307,121.517485132387,121.094420866467,281.225464846239,281.849330666473,282.473196486707,283.097062306941,283.720928127175,0.442675982387367,0.458737708424254,0.47479943446114,0.490861160498027,0.506922886534914,44.2895008579706,45.037671407236,45.7858419565013,46.5340125057666,47.282183055032
2046,122.522700370387,122.081242005949,121.639783641511,121.198325277073,120.756866912635,281.61811525894,282.269105680054,282.920096101168,283.571086522281,284.222076943395,0.452539323180363,0.469299385131897,0.486059447083431,0.502819509034965,0.5195795709865,45.0826019497825,45.8633016533637,46.644001356945,47.4247010605262,48.2054007641074
2047,122.282977651352,121.823125188395,121.363272725439,120.903420262483,120.443567799527,281.638352565056,282.31646758705,282.994582609043,283.672697631037,284.350812653031,0.465402884904936,0.482861282771117,0.500319680637298,0.517778078503479,0.535236476369661,46.3364652691062,47.1496941270033,47.9629229849004,48.7761518427975,49.5893807006946
2048,122.31073880518,121.832492243705,121.354245682231,120.875999120756,120.397752559282,281.752569293569,282.457808916442,283.163048539315,283.868288162189,284.573527785062,0.471188368703763,0.489345102484592,0.50750183626542,0.525658570046249,0.543815303827078,47.1980341849493,48.0437921971623,48.8895502093752,49.7353082215882,50.5810662338012
2049,122.145013291828,121.648372631836,121.151731971843,120.65509131185,120.158450651858,282.184314844778,282.916679068531,283.649043292284,284.381407516037,285.11377173979,0.485083330937162,0.503938400632638,0.522793470328113,0.541648540023589,0.560503609719065,48.4882179807419,49.3665051472708,50.2447923137997,51.1230794803285,52.0013666468574
2050,121.894537932519,121.379503174008,120.864468415497,120.349433656986,119.834398898475,282.803246179931,283.562735004564,284.322223829197,285.08171265383,285.841201478462,0.499230307777034,0.518783713387157,0.53833711899728,0.557890524607403,0.577443930217526,49.4788748396718,50.3896911605166,51.3005074813613,52.2113238022061,53.1221401230508
