,lat,lon,EVI2_Onset_Greenness_Maximum_1_o3_r
1013,49.276386,2.482167,-0.6711502300162164
825,48.04944444,14.44277778,-0.6681867622244102
1357,42.14175,-80.03861,-0.6679999140883613
1411,34.623238,-82.53206,-0.6659477698747097
1110,53.40337,-1.752006,-0.6658627692313513
1198,51.067439,19.448694,-0.6646448650548151
1273,39.70595,-79.012,-0.6639999524035815
1231,46.34072,2.593945,-0.6634162204688737
279,41.0026,117.9268,-0.6629150074461284
844,64.244226,19.767238,-0.6620728417829508
890,47.2225,-1.5375,-0.6615431289336937
232,37.5211,111.1406,-0.6588321496289472
774,47.40555556,15.36083333,-0.6574475506315113
841,47.557222,18.420836,-0.6572930880768275
671,45.499167,12.262222,-0.6571348019637524
777,46.13111418,14.99611517,-0.656875264277899
940,48.248993,16.357079,-0.656696261442718
1156,43.40444,-3.84194,-0.6563228456047941
226,39.9289,116.4174,-0.6561584343691786
955,47.4067,9.39438,-0.6558255255981545
948,46.6775,12.972,-0.6554882967745196
658,29.4875,106.4782,-0.6551853958819788
270,37.7124,112.469,-0.6537035769897261
498,34.7178,113.7329,-0.6532816115326229
606,27.3033,111.5239,-0.6505426789321618
950,50.46519216,3.939714326,-0.6504462375230151
551,33.015,114.0114,-0.6495075969896718
146,32.1142,112.1825,-0.6467588876424031
379,30.6319,114.135,-0.6448203734456806
1401,30.681719,-91.36625,-0.643629651931191
1369,43.176674,-85.41661,-0.6428504686768091
968,50.889871,6.985074,-0.6426387481146861
482,31.5031,120.242,-0.6413928491478292
704,45.569,8.1876,-0.6412906720152928
778,45.54301186,13.71352366,-0.6380485903776385
484,35.546,112.8453,-0.637858244558352
1304,34.474525,-85.408844,-0.6378369675806002
391,38.8394,117.457,-0.6375025820724758
1067,51.651166,12.302866,-0.6371695387856234
875,40.641111,-8.100556,-0.6367860751907046
1310,45.2384,-86.994,-0.635776582514
1162,45.96141,4.465711,-0.6356810564949863
840,54.68611145,25.2108345,-0.6355076381200162
1080,50.970024,9.80026,-0.6342483136634821
1053,50.125332,8.746343,-0.633393484907225
1216,51.54052,5.85307,-0.6317973534253853
512,25.0925,104.9022,-0.631271655445656
804,48.124711,17.125496,-0.6296473916291688
986,46.802376,4.417486,-0.6268649298773612
402,29.4906,106.6349,-0.6246470980899399
155,31.737,116.5079,-0.6242803249552251
53,30.3544,112.2008,-0.6231866162927544
991,47.2474,6.015419,-0.6221914628541841
567,26.0746,119.317,-0.621089083761619
1152,50.349608,18.236575,-0.6192221972278825
1129,51.49633,-0.460861,-0.6176906756623669
412,25.8333,114.9322,-0.6174316692931684
790,46.835,14.84361111,-0.6171771924098686
60,41.0971,122.9642,-0.6170096180574302
929,51.897598,14.057064,-0.6165137561238739
700,43.610497,2.23015,-0.6162892276065675
978,44.865555,-0.939444,-0.6161436074894759
925,52.99875,11.73846,-0.6111137646659293
392,39.0343,117.707,-0.6106911076597662
1277,39.42689,-84.20077,-0.609889726775973
499,34.77172,113.73961,-0.6088807112397027
1122,43.867496,18.423061,-0.6079385724884312
165,35.7609,115.0574,-0.6076496725904271
1319,39.866833,-88.92559,-0.6059678378871142
162,35.7306,114.2878,-0.6053130081057077
397,26.3003,106.805,-0.6027710560556129
68,40.6511,122.215,-0.6018719928454982
527,27.8914,102.237,-0.6004631965310757
691,48.001511,7.832122,-0.5998839639594825
301,34.7525,113.64164,-0.5997323019691541
417,28.2475,117.0311,-0.5988531634622503
1010,53.56292,-1.510436,-0.598132704243483
424,33.774,113.182,-0.5958363799633092
21,41.3094,123.7169,-0.5918404853344789
1422,44.616943,-86.109406,-0.5857052573180745
598,26.4214,111.6156,-0.5851420081758091
667,26.6027,106.7109,-0.5847457836334188
121,36.4847,117.8525,-0.5841015323300487
615,37.6828,112.7195,-0.5837586375661141
1305,46.0519,-89.654,-0.5814253354030966
1221,43.4015,-5.8028,-0.5810466500757423
1327,40.8679,-73.87809,-0.5796304829427612
1375,42.298492,-72.334076,-0.5786726327216156
1132,49.165508,9.224786,-0.5764272453569271
842,47.091111,17.901122,-0.5757669684318801
772,45.515278,10.219444,-0.5753991093671337
521,30.5944,114.3014,-0.5752367823437836
1259,29.767998,-95.22058,-0.5749209678145526
1135,52.22174,-2.736665,-0.5749001689424563
212,41.5646,120.4521,-0.5738184263028442
607,29.2956,117.2461,-0.5736446646777612
298,34.77134,113.65724,-0.5723661458771667
436,28.9703,111.6975,-0.571449841648454
558,29.7535,116.0721,-0.5703175454547295
973,49.446,7.7673,-0.5692439121386966
