,lat,lon,Date_Mid_Senescence_Phase_1_o3_r
12,46.586,125.153,-0.1376688594323991
392,39.0343,117.707,-0.1370306204970131
1173,50.900317,5.986853,-0.136804004131002
1098,51.15013609,3.80873543,-0.1365606527444333
576,38.4842,106.2757,-0.1337276992586403
175,42.8328,93.4961,-0.1326310136552194
292,37.8692,112.5369,-0.1301643915435471
295,40.762,114.8902,-0.1296058743320041
1163,45.5476,9.16698,-0.128775337527254
1380,44.310555,-84.89187,-0.1282279073425404
404,24.8886,102.8204,-0.127911935867646
1140,50.68352509,14.04119492,-0.1276035635831253
622,39.2474,117.7918,-0.1273984391413002
579,30.0003,120.5483,-0.1262795415493552
788,47.541944,19.146122,-0.1258675227348527
279,41.0026,117.9268,-0.125691669121001
909,49.41123199,14.67638874,-0.1219542810276751
833,47.71611111,13.63222222,-0.1214248615141426
624,35.878,120.005,-0.1207387311399165
476,46.7432,82.9994,-0.1207000966439339
863,52.602056,11.850274,-0.1197299416470651
878,43.293137,5.574184,-0.1190993972744964
1273,39.70595,-79.012,-0.1174647827994454
25,41.3472,123.8142,-0.1173011132846852
858,42.732292,23.310972,-0.1166377427093273
474,30.2111,120.2072,-0.1132408673759522
428,30.7819,111.3275,-0.1117813526595212
283,33.6067,118.989,-0.1103766571048597
314,31.8707,117.2588,-0.1089720812729293
254,45.1722,124.7965,-0.1085070825192676
1383,39.117218,-94.635605,-0.1076464954708719
1240,53.371306,-2.239218,-0.1065446792474085
60,41.0971,122.9642,-0.105465191348093
647,36.8406,118.0253,-0.105158266951451
121,36.4847,117.8525,-0.1050858657016141
402,29.4906,106.6349,-0.1049951455574559
908,49.73508453,16.03419685,-0.1044059932898064
211,41.5881,120.4318,-0.1036438425025513
737,49.233464,6.987601,-0.1027769212471202
401,28.793,104.563,-0.1024403769804917
417,28.2475,117.0311,-0.1011687848151805
584,41.7173,125.9358,-0.1011254744227717
38,36.6868,117.532,-0.1011003618845173
80,40.6532,109.8756,-0.1007756747214265
510,26.9056,112.5664,-0.1006279547529714
1125,47.565439,14.244676,-0.1000279158854607
608,27.5444,109.9453,-0.0994351599921534
563,29.6038,115.9114,-0.0992901278442415
684,50.010575,19.949189,-0.0988526488623306
248,30.8792,117.7439,-0.0972816850160676
564,29.8566,114.2936,-0.0966379899546055
1146,49.514959,8.402331,-0.0961951284320105
136,34.4045,115.6458,-0.0951089245461897
536,23.4835,111.2711,-0.0949682218036303
1104,51.75816,10.61248,-0.0943941033617893
735,45.475327,4.515003,-0.0937133145094438
1250,44.18089,-85.73898,-0.0936911220466803
716,49.94498825,17.90953064,-0.0933393073415228
386,40.217,116.2296,-0.0930763090210258
1290,35.587143,-83.07416,-0.0923398269848872
1028,44.39703,8.20604,-0.0920050926957015
166,31.0386,112.2213,-0.0913558810180023
1365,41.61524,-71.72,-0.0912806025930624
1392,38.71085,-90.47606,-0.0895520885014261
3,47.3636,123.9305,-0.0883021495198528
1396,34.015434,-84.60742,-0.0882618679719613
207,41.1953,123.2,-0.0876874766000268
