,lat,lon,Date_Mid_Greenup_Phase_1_o3_r
511,26.8919,112.6006,-0.4115987629232081
125,37.5639,121.2514,-0.4114404431506143
469,30.8388,106.1087,-0.4105311076386436
473,26.6272,118.1756,-0.4090064626352434
391,38.8394,117.457,-0.408457584242732
789,45.0249,7.6491,-0.407099265251867
1019,52.437165,-1.829999,-0.405517068466971
79,35.0532,118.3429,-0.4054999329010295
415,28.9634,105.4324,-0.4052418869351312
956,44.9513,7.6362,-0.4027516139143989
587,31.9996,118.7356,-0.402144866617513
1086,50.13577,8.92157,-0.397605280477542
828,43.9275,12.224722,-0.3975962107072945
455,36.885,120.515,-0.3960981433500924
313,31.7848,117.1959,-0.3956097791011997
81,43.831,87.6432,-0.3945401823139156
276,30.8669,120.0751,-0.3944960786048588
663,31.6449,118.5024,-0.3923692533944937
172,42.9418,89.1904,-0.3918676208929358
793,47.06701111,15.49368889,-0.3904145046062751
868,47.739919,26.658519,-0.3897412397608255
1151,51.939783,15.518861,-0.3896308666227877
872,50.654066,10.769534,-0.386817056342251
1170,43.5915,3.88681,-0.3862219154498906
526,27.8851,102.2685,-0.3857539136892466
617,39.0845,117.1589,-0.3828150355852248
1380,44.310555,-84.89187,-0.381571298032578
1100,50.85671305,4.425760659,-0.3814009577247695
622,39.2474,117.7918,-0.3788381977703505
1139,50.66109467,14.04306316,-0.3784862598953986
987,49.052284,8.253538,-0.3766378192199285
1145,50.42864609,14.91385937,-0.3747054519124077
826,45.1546,7.658,-0.3746679552827608
411,31.2071,121.577,-0.3692576007135525
21,41.3094,123.7169,-0.36808797438809
743,58.370556,26.734722,-0.367166585418555
655,30.5767,104.0594,-0.3659177775909172
984,54.09323,10.240596,-0.3645941745872514
85,34.2629,108.993,-0.3645441536404385
298,34.77134,113.65724,-0.3644044886759607
630,27.9119,112.9074,-0.3628966424299988
1325,44.08747,-75.97316,-0.3626989558154577
722,49.40619,1.15515,-0.3606498022453634
462,31.955,119.18,-0.360260205816453
1121,50.85205095,4.347777506,-0.3583414163117925
458,31.381,120.999,-0.3568233182576614
928,51.5645,14.3764,-0.3543832774644563
1402,43.656765,-70.629135,-0.3532187952719732
1036,51.360755,9.271233,-0.3524847406447672
685,48.85731,7.314175,-0.3513821530995999
437,27.9153,113.0048,-0.3493914529876387
282,30.1808,120.0883,-0.3476227183616446
814,45.79728,3.113833,-0.3470847335313411
808,48.782852,20.987197,-0.3449993769378398
425,29.9572,121.713,-0.3434598996883131
883,50.736389,15.739722,-0.3399820834322982
5,47.3227,123.9483,-0.3390865433559775
364,38.9511,121.565,-0.3365005390596122
628,34.5023,109.4259,-0.3349253294265666
115,34.7837,117.2852,-0.3345262519515584
1328,41.05192,-73.76366,-0.3339757381042602
295,40.762,114.8902,-0.3321223546586471
88,34.3474,108.935,-0.3320632333385858
440,29.3547,110.5594,-0.3316724527028435
324,40.8369,111.7516,-0.3311950698679243
228,37.6982,112.6991,-0.3307294950476679
1262,36.085506,-83.76481,-0.3293139300970102
480,27.5002,114.0997,-0.3275326109628573
1208,44.386558,23.733658,-0.3273277730337786
915,44.4122,8.1695,-0.3266793090037013
1161,50.876983,18.416878,-0.3258805876056617
993,47.62,6.157611,-0.3256864929533395
728,49.442356,1.093789,-0.3245000172783335
221,35.4897,112.8676,-0.3241699481917813
380,38.8639,115.5086,-0.3238334209029794
947,48.33472,16.729445,-0.3232751137695769
821,45.1758,7.5602,-0.3221649045036575
712,52.029194,23.149389,-0.3220315257415791
869,47.913256,7.908035,-0.3193055577279475
390,39.9136,116.184,-0.3191711777289273
1417,41.705227,-76.512726,-0.3190614347893482
1369,43.176674,-85.41661,-0.3174849645210921
1071,47.664361,9.169289,-0.3167524363272155
521,30.5944,114.3014,-0.3163126653845275
1001,47.73344,12.891241,-0.3146988089037635
7,44.561,129.61,-0.312930095699837
547,44.5782,129.6115,-0.3103185166510513
1175,46.329586,-0.458889,-0.3101369339751335
444,25.2697,110.2819,-0.308718280564356
693,43.30277777,-1.98444444,-0.3080386573270642
562,22.2281,113.299,-0.3073592963768123
975,49.628771,8.364779,-0.3064473746482266
752,45.3189,8.4024,-0.3046390500173478
193,30.0475,101.9603,-0.3042799590014767
